,DOGEUSDT,GSTUSDT,spread,zscore
39,0.0878,3.005,-0.002349999999999991,0.007555862399644034
40,0.0884,3.049,-0.0030699999999999894,0.009692376228779437
41,0.0879,3.096,-0.004979999999999998,0.01576580075053184
42,0.088,3.111,-0.005330000000000001,0.01734505502244964
43,0.0892,3.11,-0.0040999999999999925,0.013469289843393155
44,0.0895,3.101,-0.0035300000000000054,0.0114849120485632
45,0.0894,3.102,-0.0036599999999999966,0.012502401618501678
46,0.0899,3.12,-0.003700000000000009,0.012932421732745702
47,0.09,3.121,-0.0036299999999999943,0.012656925287121448
48,0.0901,3.142,-0.004159999999999997,0.0148681247207027
49,0.0904,3.173,-0.004790000000000003,0.016952985487230805
50,0.0895,3.154,-0.0051199999999999996,0.019609444218941292
51,0.09,3.148,-0.0044399999999999995,0.017464988606072786
52,0.0902,3.156,-0.004479999999999998,0.018143569557073483
53,0.09,3.156,-0.004680000000000004,0.019476049054266916
54,0.0893,3.165,-0.005649999999999988,0.02672076562054055
55,0.0904,3.118,-0.003140000000000004,0.014543288437561615
56,0.0902,3.118,-0.0033399999999999958,0.015496329251279861
57,0.0888,3.079,-0.0035700000000000037,0.016857528295255896
58,0.089,3.07,-0.0030999999999999917,0.014317320542906735
59,0.0892,3.008,-0.0010399999999999993,0.003770835965005278
60,0.0888,3.02,-0.001799999999999996,0.00622025942466829
61,0.0884,2.989,-0.0012699999999999934,0.0038572573007076482
62,0.0894,2.986,-0.00018000000000001348,0.00044421752732327967
63,0.0895,2.982,3.999999999999837e-05,-8.353989990115604e-05
64,0.0904,3.04,-0.000800000000000009,0.0015157827531324473
65,0.0901,3.053,-0.0014899999999999913,0.002678420163458387
66,0.0902,3.088,-0.0024399999999999977,0.004305399575085165
67,0.0903,3.071,-0.0018299999999999983,0.0031146590745382546
68,0.0896,3.107,-0.003610000000000002,0.006143724045050016
69,0.09,3.138,-0.004139999999999991,0.007046434371412911
70,0.0887,3.096,-0.004180000000000003,0.007164882302661312
71,0.0887,3.089,-0.003970000000000001,0.006921248838837201
72,0.0894,3.089,-0.003270000000000009,0.005726999456188337
73,0.0884,3.111,-0.00492999999999999,0.008552580482195189
74,0.0887,3.061,-0.003129999999999994,0.005481344470919661
75,0.0886,3.01,-0.0016999999999999932,0.0030511261950106174
76,0.0891,2.993,-0.0006899999999999962,0.001142903022187982
77,0.0889,3.002,-0.0011599999999999805,0.001828903870732953
78,0.0886,2.989,-0.0010700000000000015,0.0016073337241475482
79,0.0871,2.997,-0.002809999999999993,0.004217189591505214
80,0.0868,2.849,0.0013299999999999979,-0.0016877924894202773
81,0.0858,2.913,-0.0015899999999999942,0.0020050713997662954
82,0.085,2.853,-0.0005899999999999933,0.0007220367331646877
83,0.0854,2.837,0.0002899999999999986,-0.00034483228324859645
84,0.0852,2.873,-0.0009900000000000048,0.0012419343772085653
85,0.0854,2.843,0.00011000000000001287,-0.00013132393415182577
86,0.0858,2.882,-0.0006599999999999939,0.000762192073629519
87,0.0855,2.931,-0.0024299999999999877,0.0028058046518535714
88,0.0853,2.896,-0.001579999999999998,0.0018113151260795545
89,0.085,2.929,-0.0028699999999999837,0.003286747871025116
90,0.0833,2.888,-0.0033399999999999958,0.003853042328733405
91,0.0841,2.865,-0.0018500000000000044,0.0021240821761550717
92,0.0823,2.854,-0.0033200000000000035,0.00384772007279706
93,0.0838,2.857,-0.001910000000000009,0.002191604249849996
94,0.0845,2.877,-0.0018099999999999783,0.0022063460822515928
95,0.0842,2.895,-0.0026499999999999996,0.0032526322829193625
96,0.084,2.906,-0.0031800000000000023,0.003912024385083049
97,0.0852,2.96,-0.003599999999999992,0.00461189013670001
98,0.0845,2.936,-0.003579999999999986,0.004702927744711265
99,0.0836,2.88,-0.002799999999999997,0.0038314929314761663
100,0.0833,2.862,-0.0025600000000000067,0.003499222606504909
101,0.0836,2.84,-0.0016000000000000042,0.0027689866013138435
102,0.0852,2.94,-0.0030000000000000027,0.00529968741741237
103,0.0848,2.939,-0.003369999999999998,0.006444681195776977
104,0.0853,2.938,-0.0028399999999999953,0.006633832668639212
105,0.0857,2.928,-0.002140000000000003,0.005370125651304386
106,0.0869,2.978,-0.0024399999999999977,0.008040099845151217
107,0.0867,2.953,-0.001889999999999989,0.0074457745383653086
108,0.0868,2.954,-0.0018200000000000022,0.006869802998652433
109,0.0863,2.95,-0.0021999999999999936,0.00882149042519865
110,0.0859,2.88,-0.0004999999999999866,0.0015737691839129429
111,0.0864,2.925,-0.00134999999999999,0.004022820473580008
112,0.0861,2.914,-0.0013200000000000017,0.003770416485325952
113,0.0861,2.944,-0.0022199999999999998,0.0064199928854431825
