,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossing
362,OCEANUSDT,DOTUSDT,0.03,-3.52,-3.37,0.02,48
837,CTCUSDT,ZILUSDT,0.0,-4.58,-3.37,9.49,47
493,ZRXUSDT,CREAMUSDT,0.01,-3.88,-3.37,0.02,45
345,BANDUSDT,GRTUSDT,0.03,-3.55,-3.37,13.88,45
28,EOSUSDT,SKLUSDT,0.01,-3.79,-3.37,20.79,44
514,GLMRUSDT,RNDRUSDT,0.01,-3.84,-3.37,1.32,44
274,GTCUSDT,LTCUSDT,0.0,-11.11,-3.37,0.05,42
332,JSTUSDT,KSMUSDT,0.0,-4.4,-3.37,0.0,41
813,CTCUSDT,DOTUSDT,0.05,-3.37,-3.37,0.05,41
286,RSRUSDT,ADAUSDT,0.01,-3.83,-3.37,0.02,41
424,KDAUSDT,CKBUSDT,0.04,-3.39,-3.37,430.89,41
466,HOTUSDT,ALGOUSDT,0.0,-5.01,-3.37,0.01,41
394,OCEANUSDT,CREAMUSDT,0.01,-4.08,-3.37,0.01,41
475,ALPHAUSDT,FTMUSDT,0.01,-3.97,-3.37,0.44,40
907,BELUSDT,ALGOUSDT,0.02,-3.67,-3.37,2.73,40
333,JSTUSDT,GRTUSDT,0.04,-3.41,-3.37,0.3,39
858,ONTUSDT,SCUSDT,0.04,-3.46,-3.37,62.18,39
571,1000XECUSDT,IMXUSDT,0.01,-4.09,-3.37,0.04,39
859,ONTUSDT,CREAMUSDT,0.0,-5.29,-3.37,0.01,38
258,OMGUSDT,BCHUSDT,0.0,-4.82,-3.37,0.02,38
482,ALPHAUSDT,CREAMUSDT,0.03,-3.57,-3.37,0.01,38
581,BALUSDT,EGLDUSDT,0.01,-4.08,-3.37,0.09,38
351,BANDUSDT,C98USDT,0.01,-3.94,-3.37,2.74,38
327,RAYUSDT,DODOUSDT,0.0,-5.74,-3.37,5.52,37
279,RNDRUSDT,BCHUSDT,0.01,-3.83,-3.37,0.0,37
48,XRPUSDT,CKBUSDT,0.0,-4.57,-3.37,92.13,37
74,XTZUSDT,SFPUSDT,0.03,-3.53,-3.37,4.35,37
522,GLMRUSDT,WAVESUSDT,0.0,-4.51,-3.37,0.13,36
584,BALUSDT,CELOUSDT,0.04,-3.42,-3.37,5.35,36
496,GLMRUSDT,BCHUSDT,0.02,-3.73,-3.37,0.01,36
849,LUNA2USDT,XRPUSDT,0.0,-4.84,-3.37,6.65,35
480,ALPHAUSDT,SKLUSDT,0.02,-3.71,-3.37,2.48,35
850,LUNA2USDT,BCHUSDT,0.01,-4.04,-3.37,0.02,35
87,LINKUSDT,DOGEUSDT,0.02,-3.65,-3.37,92.69,35
404,API3USDT,LOOKSUSDT,0.01,-3.77,-3.37,6.23,35
414,KDAUSDT,XLMUSDT,0.0,-4.71,-3.37,13.88,35
443,APEUSDT,FXSUSDT,0.04,-3.39,-3.37,0.95,35
538,SCRTUSDT,BCHUSDT,0.04,-3.41,-3.37,0.01,34
499,GLMRUSDT,CHZUSDT,0.03,-3.53,-3.37,6.78,34
348,BANDUSDT,NEARUSDT,0.01,-4.05,-3.37,0.39,34
403,API3USDT,PEOPLEUSDT,0.0,-4.37,-3.37,83.2,34
307,WAVESUSDT,DOTUSDT,0.0,-5.06,-3.37,0.76,34
421,KDAUSDT,RVNUSDT,0.02,-3.65,-3.37,64.89,34
521,GLMRUSDT,ICXUSDT,0.03,-3.57,-3.37,2.33,34
111,DOTUSDT,BCHUSDT,0.03,-3.5,-3.37,0.07,33
866,ONTUSDT,ACHUSDT,0.0,-4.49,-3.37,19.53,33
419,KDAUSDT,ANKRUSDT,0.04,-3.47,-3.37,54.23,33
259,OMGUSDT,DOTUSDT,0.01,-3.83,-3.37,0.27,33
261,GALAUSDT,BCHUSDT,0.01,-4.07,-3.37,0.0,33
816,CTCUSDT,ALGOUSDT,0.05,-3.37,-3.37,1.2,33
843,CTCUSDT,ZRXUSDT,0.01,-4.08,-3.37,1.22,33
39,XRPUSDT,BSVUSDT,0.0,-4.57,-3.37,0.01,33
437,APEUSDT,XMRUSDT,0.04,-3.46,-3.37,0.04,32
575,BALUSDT,AXSUSDT,0.01,-3.89,-3.37,0.33,32
6,BTCUSDT,SKLUSDT,0.04,-3.44,-3.37,432374.79,32
489,ALPHAUSDT,AKROUSDT,0.02,-3.63,-3.37,26.67,32
263,GALAUSDT,LINKUSDT,0.01,-3.8,-3.37,0.01,32
297,ICXUSDT,BCHUSDT,0.01,-4.05,-3.37,0.0,32
354,BANDUSDT,SKLUSDT,0.02,-3.61,-3.37,28.8,31
379,OCEANUSDT,CHRUSDT,0.01,-3.94,-3.37,0.93,31
699,GSTUSDT,ICXUSDT,0.02,-3.74,-3.37,0.37,31
474,ALPHAUSDT,BSVUSDT,0.0,-4.71,-3.37,0.0,31
864,ONTUSDT,STMXUSDT,0.0,-4.32,-3.37,32.97,31
833,CTCUSDT,WAVESUSDT,0.03,-3.54,-3.37,0.07,31
463,HOTUSDT,CHZUSDT,0.03,-3.49,-3.37,0.02,31
487,ALPHAUSDT,MTLUSDT,0.03,-3.53,-3.37,0.09,31
711,GSTUSDT,HNTUSDT,0.03,-3.52,-3.37,0.01,31
374,OCEANUSDT,HBARUSDT,0.02,-3.76,-3.37,2.72,31
441,APEUSDT,XNOUSDT,0.03,-3.53,-3.37,5.64,30
33,XRPUSDT,BCHUSDT,0.02,-3.62,-3.37,0.0,30
295,IOTAUSDT,BCHUSDT,0.01,-4.05,-3.37,0.0,30
257,OMGUSDT,XRPUSDT,0.03,-3.56,-3.37,5.63,30
502,GLMRUSDT,ALGOUSDT,0.03,-3.58,-3.37,2.16,30
95,LINKUSDT,RNDRUSDT,0.04,-3.46,-3.37,12.29,30
57,LTCUSDT,BITUSDT,0.02,-3.61,-3.37,114.44,30
729,FLMUSDT,DODOUSDT,0.0,-4.25,-3.37,0.83,30
102,LINKUSDT,SCRTUSDT,0.01,-3.87,-3.37,6.57,30
517,GLMRUSDT,KLAYUSDT,0.04,-3.38,-3.37,2.87,30
386,OCEANUSDT,STXUSDT,0.02,-3.66,-3.37,0.44,30
638,GSTUSDT,ALGOUSDT,0.03,-3.56,-3.37,0.35,29
877,BELUSDT,DOTUSDT,0.02,-3.68,-3.37,0.12,29
834,CTCUSDT,RVNUSDT,0.02,-3.76,-3.37,15.9,29
603,GSTUSDT,BCHUSDT,0.02,-3.7,-3.37,0.0,29
911,BELUSDT,OMGUSDT,0.03,-3.5,-3.37,0.46,29
22,EOSUSDT,AXSUSDT,0.03,-3.57,-3.37,0.07,29
329,SUNUSDT,PEOPLEUSDT,0.03,-3.58,-3.37,0.25,29
436,APEUSDT,IMXUSDT,0.04,-3.42,-3.37,5.05,29
306,WAVESUSDT,LINKUSDT,0.03,-3.59,-3.37,0.84,29
688,GSTUSDT,BICOUSDT,0.03,-3.52,-3.37,0.22,29
359,RSS3USDT,KLAYUSDT,0.02,-3.7,-3.37,0.62,29
40,XRPUSDT,FTMUSDT,0.03,-3.57,-3.37,1.25,29
19,EOSUSDT,FILUSDT,0.01,-4.09,-3.37,0.18,29
857,ONTUSDT,AUDIOUSDT,0.02,-3.74,-3.37,0.7,29
439,APEUSDT,KNCUSDT,0.02,-3.68,-3.37,3.66,28
275,GTCUSDT,ADAUSDT,0.0,-4.12,-3.37,5.47,28
473,ALPHAUSDT,SHIB1000USDT,0.01,-3.87,-3.37,11.04,28
370,OCEANUSDT,OMGUSDT,0.03,-3.58,-3.37,0.09,28
109,ADAUSDT,STMXUSDT,0.05,-3.37,-3.37,64.05,28
413,KDAUSDT,ETCUSDT,0.03,-3.58,-3.37,0.1,28
346,BANDUSDT,SHIB1000USDT,0.03,-3.53,-3.37,128.35,28
557,LINAUSDT,DODOUSDT,0.03,-3.51,-3.37,0.07,28
593,TOMOUSDT,SOLUSDT,0.02,-3.73,-3.37,0.01,27
303,WAVESUSDT,BCHUSDT,0.02,-3.68,-3.37,0.05,27
882,BELUSDT,DOGEUSDT,0.02,-3.66,-3.37,12.53,27
52,XRPUSDT,MTLUSDT,0.0,-5.19,-3.37,0.26,27
629,GSTUSDT,CHZUSDT,0.02,-3.63,-3.37,1.09,27
402,API3USDT,ARUSDT,0.0,-5.29,-3.37,0.18,27
696,GSTUSDT,XMRUSDT,0.03,-3.58,-3.37,0.0,27
420,KDAUSDT,SKLUSDT,0.03,-3.56,-3.37,32.69,27
710,GSTUSDT,10000NFTUSDT,0.02,-3.61,-3.37,16.58,27
18,ETHUSDT,MINAUSDT,0.03,-3.5,-3.37,1745.34,27
862,ONTUSDT,CTSIUSDT,0.0,-4.66,-3.37,1.59,27
61,LTCUSDT,LUNA2USDT,0.02,-3.67,-3.37,23.39,27
749,FITFIUSDT,COMPUSDT,0.05,-3.37,-3.37,0.0,27
246,CHZUSDT,BCHUSDT,0.01,-4.06,-3.37,0.0,27
689,GSTUSDT,REQUSDT,0.02,-3.67,-3.37,0.94,27
682,GSTUSDT,CVCUSDT,0.02,-3.63,-3.37,0.76,27
818,CTCUSDT,BITUSDT,0.01,-3.97,-3.37,0.84,27
683,GSTUSDT,RNDRUSDT,0.02,-3.6,-3.37,0.21,27
66,XTZUSDT,BSVUSDT,0.02,-3.64,-3.37,0.03,27
84,XTZUSDT,DARUSDT,0.01,-3.96,-3.37,5.1,27
646,GSTUSDT,BITUSDT,0.02,-3.68,-3.37,0.24,27
382,OCEANUSDT,QTUMUSDT,0.04,-3.38,-3.37,0.06,27
504,GLMRUSDT,GALAUSDT,0.04,-3.39,-3.37,12.5,27
30,EOSUSDT,CKBUSDT,0.02,-3.68,-3.37,274.05,27
822,CTCUSDT,ILVUSDT,0.04,-3.46,-3.37,0.0,27
105,LINKUSDT,AKROUSDT,0.02,-3.61,-3.37,1451.21,27
723,FLMUSDT,CREAMUSDT,0.0,-4.67,-3.37,0.01,27
240,DOGEUSDT,BCHUSDT,0.03,-3.52,-3.37,0.0,27
418,KDAUSDT,CHRUSDT,0.03,-3.55,-3.37,8.34,27
360,RSS3USDT,CREAMUSDT,0.04,-3.41,-3.37,0.01,26
294,IOTAUSDT,XRPUSDT,0.03,-3.49,-3.37,0.84,26
3,BTCUSDT,LPTUSDT,0.05,-3.37,-3.37,2354.36,26
289,BICOUSDT,XRPUSDT,0.04,-3.41,-3.37,1.52,26
445,APEUSDT,BALUSDT,0.04,-3.44,-3.37,0.99,26
204,XEMUSDT,RNDRUSDT,0.01,-3.98,-3.37,0.08,26
270,AUDIOUSDT,BCHUSDT,0.02,-3.71,-3.37,0.0,26
330,SUNUSDT,API3USDT,0.0,-4.37,-3.37,0.0,26
201,XEMUSDT,GTCUSDT,0.01,-3.95,-3.37,0.02,26
241,SOLUSDT,ETHUSDT,0.04,-3.38,-3.37,0.03,25
559,FXSUSDT,IMXUSDT,0.04,-3.45,-3.37,5.3,25
701,GSTUSDT,WAVESUSDT,0.02,-3.6,-3.37,0.02,25
841,CTCUSDT,KDAUSDT,0.02,-3.66,-3.37,0.24,25
471,HOTUSDT,FLOWUSDT,0.01,-3.82,-3.37,0.0,25
829,CTCUSDT,AUDIOUSDT,0.02,-3.65,-3.37,1.09,25
481,ALPHAUSDT,BICOUSDT,0.01,-3.91,-3.37,0.23,25
635,GSTUSDT,BSVUSDT,0.02,-3.63,-3.37,0.0,25
637,GSTUSDT,FTMUSDT,0.03,-3.59,-3.37,0.41,25
726,FLMUSDT,BAKEUSDT,0.0,-4.57,-3.37,0.4,25
459,HOTUSDT,DOTUSDT,0.02,-3.73,-3.37,0.0,25
38,XRPUSDT,SHIB1000USDT,0.01,-3.83,-3.37,31.14,25
264,GALAUSDT,DOTUSDT,0.03,-3.55,-3.37,0.01,25
438,APEUSDT,CELOUSDT,0.02,-3.7,-3.37,5.32,25
835,CTCUSDT,CREAMUSDT,0.04,-3.42,-3.37,0.02,25
292,DUSKUSDT,DOTUSDT,0.01,-3.78,-3.37,0.02,25
705,GSTUSDT,ROSEUSDT,0.02,-3.61,-3.37,2.15,25
54,XRPUSDT,AKROUSDT,0.04,-3.4,-3.37,75.26,25
347,BANDUSDT,BSVUSDT,0.01,-3.77,-3.37,0.02,25
73,XTZUSDT,SXPUSDT,0.0,-4.45,-3.37,3.83,25
578,BALUSDT,YFIUSDT,0.0,-4.74,-3.37,0.0,25
82,XTZUSDT,ASTRUSDT,0.03,-3.49,-3.37,34.31,25
380,OCEANUSDT,ANKRUSDT,0.03,-3.52,-3.37,6.08,25
96,LINKUSDT,REEFUSDT,0.04,-3.39,-3.37,1843.55,25
101,LINKUSDT,1000BTTUSDT,0.05,-3.37,-3.37,7323.37,25
387,OCEANUSDT,BICOUSDT,0.0,-4.12,-3.37,0.34,25
322,RAYUSDT,QNTUSDT,0.02,-3.7,-3.37,0.01,25
692,GSTUSDT,ANTUSDT,0.02,-3.61,-3.37,0.07,25
342,JSTUSDT,DARUSDT,0.04,-3.39,-3.37,0.1,25
691,GSTUSDT,KLAYUSDT,0.03,-3.58,-3.37,0.46,25
643,GSTUSDT,IOSTUSDT,0.01,-3.87,-3.37,7.91,25
276,GTCUSDT,DOTUSDT,0.03,-3.53,-3.37,0.37,24
790,FITFIUSDT,GTCUSDT,0.04,-3.42,-3.37,0.03,24
349,BANDUSDT,DASHUSDT,0.02,-3.64,-3.37,0.03,24
45,XRPUSDT,LPTUSDT,0.02,-3.72,-3.37,0.04,24
587,BALUSDT,1000BTTUSDT,0.02,-3.75,-3.37,5615.45,24
492,ZRXUSDT,LPTUSDT,0.0,-4.4,-3.37,0.04,24
46,XRPUSDT,QTUMUSDT,0.01,-3.77,-3.37,0.11,24
390,OCEANUSDT,WAVESUSDT,0.01,-3.99,-3.37,0.03,24
358,RSS3USDT,HBARUSDT,0.05,-3.37,-3.37,2.31,24
83,XTZUSDT,DODOUSDT,0.0,-4.6,-3.37,11.76,24
904,BELUSDT,BSVUSDT,0.02,-3.66,-3.37,0.02,24
365,OCEANUSDT,ETCUSDT,0.04,-3.39,-3.37,0.01,24
423,KDAUSDT,ZILUSDT,0.04,-3.42,-3.37,38.75,24
574,BALUSDT,BNBUSDT,0.02,-3.72,-3.37,0.02,24
780,FITFIUSDT,SNXUSDT,0.01,-3.77,-3.37,0.03,24
260,FTTUSDT,BTCUSDT,0.01,-3.82,-3.37,0.0,24
75,XTZUSDT,BICOUSDT,0.02,-3.63,-3.37,3.01,24
614,GSTUSDT,MATICUSDT,0.02,-3.61,-3.37,0.21,23
505,GLMRUSDT,AGLDUSDT,0.0,-4.11,-3.37,1.62,23
718,FLMUSDT,RENUSDT,0.01,-3.87,-3.37,0.85,23
622,GSTUSDT,THETAUSDT,0.02,-3.6,-3.37,0.09,23
891,BELUSDT,THETAUSDT,0.02,-3.62,-3.37,0.7,23
675,GSTUSDT,ZECUSDT,0.02,-3.62,-3.37,0.0,23
67,XTZUSDT,ALGOUSDT,0.02,-3.76,-3.37,4.8,23
764,FITFIUSDT,BITUSDT,0.02,-3.72,-3.37,0.18,23
672,GSTUSDT,QTUMUSDT,0.02,-3.65,-3.37,0.04,23
37,XRPUSDT,VETUSDT,0.02,-3.68,-3.37,14.17,23
618,GSTUSDT,SOLUSDT,0.02,-3.63,-3.37,0.0,23
623,GSTUSDT,COMPUSDT,0.04,-3.45,-3.37,0.0,23
674,GSTUSDT,SXPUSDT,0.02,-3.62,-3.37,0.28,23
262,GALAUSDT,XTZUSDT,0.04,-3.44,-3.37,0.04,23
356,BANDUSDT,CREAMUSDT,0.04,-3.45,-3.37,0.07,23
615,GSTUSDT,ETCUSDT,0.02,-3.62,-3.37,0.01,23
385,OCEANUSDT,SCUSDT,0.04,-3.42,-3.37,44.33,23
677,GSTUSDT,SFPUSDT,0.02,-3.63,-3.37,0.31,23
602,GSTUSDT,XRPUSDT,0.02,-3.61,-3.37,0.33,23
709,GSTUSDT,JASMYUSDT,0.02,-3.64,-3.37,10.66,23
654,GSTUSDT,COTIUSDT,0.03,-3.48,-3.37,1.16,23
561,BOBAUSDT,AAVEUSDT,0.02,-3.68,-3.37,0.01,23
305,WAVESUSDT,XTZUSDT,0.03,-3.56,-3.37,3.52,23
656,GSTUSDT,EGLDUSDT,0.02,-3.64,-3.37,0.0,23
704,GSTUSDT,KAVAUSDT,0.02,-3.67,-3.37,0.06,23
657,GSTUSDT,RENUSDT,0.02,-3.61,-3.37,0.86,23
328,SUNUSDT,ARUSDT,0.05,-3.37,-3.37,0.0,23
600,GSTUSDT,ETHUSDT,0.02,-3.62,-3.37,0.0,23
64,XTZUSDT,KSMUSDT,0.03,-3.51,-3.37,0.03,23
872,BELUSDT,BCHUSDT,0.02,-3.65,-3.37,0.01,23
388,OCEANUSDT,DUSKUSDT,0.03,-3.49,-3.37,1.47,23
915,BELUSDT,GALAUSDT,0.03,-3.57,-3.37,15.79,23
695,GSTUSDT,REEFUSDT,0.02,-3.6,-3.37,31.61,23
498,GLMRUSDT,XLMUSDT,0.03,-3.47,-3.37,6.12,22
326,RAYUSDT,BOBAUSDT,0.04,-3.4,-3.37,1.89,22
513,GLMRUSDT,CVCUSDT,0.03,-3.5,-3.37,4.73,22
510,GLMRUSDT,SXPUSDT,0.03,-3.51,-3.37,1.73,22
302,WAVESUSDT,XRPUSDT,0.0,-4.23,-3.37,16.16,22
411,KDAUSDT,DOTUSDT,0.01,-3.88,-3.37,0.22,22
405,API3USDT,10000NFTUSDT,0.03,-3.55,-3.37,305.83,22
572,1000XECUSDT,FXSUSDT,0.01,-3.78,-3.37,0.01,22
80,XTZUSDT,CTSIUSDT,0.01,-4.05,-3.37,9.9,22
563,BOBAUSDT,SHIB1000USDT,0.01,-3.77,-3.37,35.41,22
879,BELUSDT,XEMUSDT,0.04,-3.42,-3.37,20.51,22
583,BALUSDT,SKLUSDT,0.03,-3.49,-3.37,103.31,22
494,ZRXUSDT,STMXUSDT,0.01,-3.79,-3.37,42.0,22
660,GSTUSDT,FLOWUSDT,0.02,-3.64,-3.37,0.07,21
287,RSRUSDT,DOTUSDT,0.01,-4.08,-3.37,0.0,21
644,GSTUSDT,DASHUSDT,0.02,-3.66,-3.37,0.0,21
353,BANDUSDT,QTUMUSDT,0.01,-3.88,-3.37,0.47,21
315,ZILUSDT,XRPUSDT,0.01,-3.9,-3.37,0.12,21
774,FITFIUSDT,FLOWUSDT,0.04,-3.4,-3.37,0.05,21
312,HNTUSDT,BCHUSDT,0.03,-3.56,-3.37,0.09,21
458,HOTUSDT,XTZUSDT,0.02,-3.7,-3.37,0.0,21
355,BANDUSDT,BICOUSDT,0.0,-4.33,-3.37,2.71,21
668,GSTUSDT,SNXUSDT,0.03,-3.54,-3.37,0.04,21
647,GSTUSDT,GALAUSDT,0.02,-3.62,-3.37,2.0,21
737,FITFIUSDT,ADAUSDT,0.03,-3.53,-3.37,0.17,21
624,GSTUSDT,AXSUSDT,0.03,-3.54,-3.37,0.01,21
35,XRPUSDT,ETCUSDT,0.02,-3.67,-3.37,0.02,21
898,BELUSDT,CHZUSDT,0.01,-3.8,-3.37,8.57,21
527,GLMRUSDT,SUNUSDT,0.0,-4.36,-3.37,114.29,21
63,XTZUSDT,DOTUSDT,0.04,-3.42,-3.37,0.22,21
842,CTCUSDT,DGBUSDT,0.03,-3.52,-3.37,38.73,21
845,UNFIUSDT,DODOUSDT,0.03,-3.52,-3.37,46.22,21
820,CTCUSDT,ALICEUSDT,0.04,-3.44,-3.37,0.16,21
817,CTCUSDT,FTTUSDT,0.03,-3.51,-3.37,0.01,21
698,GSTUSDT,IOTAUSDT,0.02,-3.63,-3.37,0.39,21
627,GSTUSDT,KSMUSDT,0.02,-3.61,-3.37,0.0,21
582,BALUSDT,LRCUSDT,0.04,-3.41,-3.37,12.16,21
608,GSTUSDT,DOTUSDT,0.03,-3.59,-3.37,0.02,21
902,BELUSDT,SHIB1000USDT,0.02,-3.65,-3.37,81.15,21
613,GSTUSDT,DOGEUSDT,0.02,-3.63,-3.37,1.59,21
70,XTZUSDT,CHRUSDT,0.04,-3.4,-3.37,8.17,21
76,XTZUSDT,REEFUSDT,0.01,-4.08,-3.37,438.31,21
642,GSTUSDT,OMGUSDT,0.02,-3.63,-3.37,0.06,21
633,GSTUSDT,SHIB1000USDT,0.02,-3.63,-3.37,10.29,21
576,BALUSDT,MANAUSDT,0.04,-3.42,-3.37,5.5,21
60,LTCUSDT,ACHUSDT,0.03,-3.53,-3.37,4135.99,21
565,BOBAUSDT,C98USDT,0.03,-3.53,-3.37,0.76,20
564,BOBAUSDT,NEARUSDT,0.03,-3.55,-3.37,0.11,20
401,API3USDT,LITUSDT,0.02,-3.76,-3.37,2.24,20
17,ETHUSDT,JASMYUSDT,0.01,-3.92,-3.37,112393.91,20
876,BELUSDT,ADAUSDT,0.02,-3.77,-3.37,1.83,20
59,LTCUSDT,STMXUSDT,0.02,-3.6,-3.37,6982.97,20
537,SCRTUSDT,XRPUSDT,0.02,-3.6,-3.37,2.94,20
828,CTCUSDT,YGGUSDT,0.03,-3.59,-3.37,0.55,20
851,OPUSDT,BCHUSDT,0.03,-3.51,-3.37,0.01,20
888,BELUSDT,XLMUSDT,0.01,-3.94,-3.37,7.74,20
399,API3USDT,LRCUSDT,0.02,-3.75,-3.37,5.02,20
212,XEMUSDT,1INCHUSDT,0.01,-3.95,-3.37,0.06,20
107,ADAUSDT,BITUSDT,0.03,-3.57,-3.37,1.05,20
516,GLMRUSDT,BICOUSDT,0.01,-3.84,-3.37,1.36,20
827,CTCUSDT,LPTUSDT,0.01,-3.83,-3.37,0.04,20
90,LINKUSDT,ALICEUSDT,0.03,-3.49,-3.37,2.76,20
823,CTCUSDT,WOOUSDT,0.01,-3.81,-3.37,2.08,19
685,GSTUSDT,RSRUSDT,0.02,-3.62,-3.37,15.26,19
892,BELUSDT,COMPUSDT,0.03,-3.5,-3.37,0.02,19
805,FITFIUSDT,KAVAUSDT,0.04,-3.46,-3.37,0.04,19
847,LUNA2USDT,BTCUSDT,0.01,-4.08,-3.37,0.0,19
383,OCEANUSDT,AUDIOUSDT,0.04,-3.44,-3.37,0.5,19
415,KDAUSDT,FTTUSDT,0.02,-3.65,-3.37,0.06,19
508,GLMRUSDT,ILVUSDT,0.0,-4.12,-3.37,0.01,19
488,ALPHAUSDT,DODOUSDT,0.01,-3.92,-3.37,0.91,19
605,GSTUSDT,XTZUSDT,0.02,-3.62,-3.37,0.07,19
560,BOBAUSDT,UNIUSDT,0.04,-3.46,-3.37,0.07,19
860,ONTUSDT,QNTUSDT,0.04,-3.45,-3.37,0.0,19
619,GSTUSDT,XLMUSDT,0.04,-3.4,-3.37,0.98,19
361,OCEANUSDT,XRPUSDT,0.04,-3.42,-3.37,0.52,19
725,FLMUSDT,ALPHAUSDT,0.04,-3.41,-3.37,0.91,19
620,GSTUSDT,TRXUSDT,0.02,-3.62,-3.37,1.61,19
62,XTZUSDT,ETHUSDT,0.0,-4.87,-3.37,0.0,19
665,GSTUSDT,CHRUSDT,0.03,-3.52,-3.37,0.59,19
792,FITFIUSDT,CVCUSDT,0.04,-3.4,-3.37,0.57,19
632,GSTUSDT,GRTUSDT,0.02,-3.62,-3.37,1.11,19
838,CTCUSDT,NEOUSDT,0.03,-3.48,-3.37,0.04,19
670,GSTUSDT,ANKRUSDT,0.02,-3.63,-3.37,3.83,19
110,DOTUSDT,XRPUSDT,0.03,-3.5,-3.37,21.23,19
831,CTCUSDT,SKLUSDT,0.04,-3.45,-3.37,8.01,19
686,GSTUSDT,STXUSDT,0.04,-3.45,-3.37,0.27,19
532,GLMRUSDT,SCRTUSDT,0.03,-3.49,-3.37,0.7,19
539,BAKEUSDT,BTCUSDT,0.01,-3.82,-3.37,0.0,19
731,GALUSDT,BITUSDT,0.03,-3.5,-3.37,6.54,19
884,BELUSDT,ETCUSDT,0.02,-3.69,-3.37,0.06,19
694,GSTUSDT,ARUSDT,0.02,-3.69,-3.37,0.01,19
553,LINAUSDT,JASMYUSDT,0.02,-3.75,-3.37,0.84,19
431,APEUSDT,YFIUSDT,0.01,-3.8,-3.37,0.0,19
393,OCEANUSDT,ROSEUSDT,0.04,-3.4,-3.37,3.4,19
839,CTCUSDT,XNOUSDT,0.04,-3.46,-3.37,0.44,19
651,GSTUSDT,C98USDT,0.02,-3.63,-3.37,0.22,19
840,CTCUSDT,PAXGUSDT,0.01,-3.9,-3.37,0.0,19
298,CELOUSDT,ETHUSDT,0.04,-3.47,-3.37,0.0,19
680,GSTUSDT,SKLUSDT,0.02,-3.6,-3.37,2.31,19
873,BELUSDT,LTCUSDT,0.02,-3.72,-3.37,0.02,18
391,OCEANUSDT,RVNUSDT,0.03,-3.57,-3.37,7.27,18
589,CVXUSDT,CRVUSDT,0.02,-3.67,-3.37,5.69,18
397,API3USDT,ENJUSDT,0.03,-3.58,-3.37,3.86,18
586,BALUSDT,CKBUSDT,0.02,-3.64,-3.37,1361.71,18
562,BOBAUSDT,FILUSDT,0.04,-3.47,-3.37,0.07,18
398,API3USDT,EGLDUSDT,0.03,-3.49,-3.37,0.04,18
231,XEMUSDT,JASMYUSDT,0.01,-3.94,-3.37,4.08,18
267,CHRUSDT,XRPUSDT,0.04,-3.43,-3.37,0.56,18
400,API3USDT,IMXUSDT,0.01,-3.94,-3.37,2.09,18
444,APEUSDT,MINAUSDT,0.0,-4.14,-3.37,7.38,18
229,XEMUSDT,CREAMUSDT,0.01,-3.97,-3.37,0.0,18
526,GLMRUSDT,ZILUSDT,0.01,-4.05,-3.37,17.09,18
529,GLMRUSDT,API3USDT,0.0,-4.11,-3.37,0.34,18
31,EOSUSDT,MINAUSDT,0.02,-3.61,-3.37,1.49,18
432,APEUSDT,MKRUSDT,0.02,-3.68,-3.37,0.01,18
545,LINAUSDT,CELRUSDT,0.03,-3.48,-3.37,0.55,18
32,EOSUSDT,DODOUSDT,0.04,-3.39,-3.37,7.63,18
556,LINAUSDT,BOBAUSDT,0.01,-4.06,-3.37,0.02,18
239,DOGEUSDT,XRPUSDT,0.01,-3.87,-3.37,0.21,18
455,CTSIUSDT,XRPUSDT,0.04,-3.44,-3.37,0.46,18
484,ALPHAUSDT,CTSIUSDT,0.03,-3.58,-3.37,0.77,17
1,BTCUSDT,BSVUSDT,0.02,-3.7,-3.37,371.43,17
717,FLMUSDT,DASHUSDT,0.01,-3.83,-3.37,0.0,17
485,ALPHAUSDT,ASTRUSDT,0.01,-3.9,-3.37,2.65,17
610,GSTUSDT,XEMUSDT,0.0,-4.83,-3.37,2.6,17
724,FLMUSDT,CTSIUSDT,0.01,-3.99,-3.37,0.7,17
479,ALPHAUSDT,QTUMUSDT,0.02,-3.72,-3.37,0.04,17
621,GSTUSDT,VETUSDT,0.02,-3.61,-3.37,4.69,17
606,GSTUSDT,LINKUSDT,0.02,-3.63,-3.37,0.02,17
375,OCEANUSDT,ONEUSDT,0.01,-3.85,-3.37,9.36,17
601,GSTUSDT,EOSUSDT,0.02,-3.63,-3.37,0.11,17
673,GSTUSDT,CROUSDT,0.02,-3.6,-3.37,0.92,17
604,GSTUSDT,LTCUSDT,0.05,-3.37,-3.37,0.0,17
648,GSTUSDT,CELRUSDT,0.02,-3.62,-3.37,6.98,17
707,GSTUSDT,CREAMUSDT,0.02,-3.64,-3.37,0.01,17
693,GSTUSDT,DUSKUSDT,0.02,-3.68,-3.37,0.93,17
649,GSTUSDT,HBARUSDT,0.02,-3.69,-3.37,1.72,17
706,GSTUSDT,DENTUSDT,0.02,-3.62,-3.37,121.94,17
392,OCEANUSDT,KAVAUSDT,0.02,-3.71,-3.37,0.09,17
429,APEUSDT,MANAUSDT,0.03,-3.53,-3.37,5.47,17
546,LINAUSDT,C98USDT,0.05,-3.37,-3.37,0.02,17
551,LINAUSDT,BICOUSDT,0.02,-3.75,-3.37,0.02,17
